Kimonos,Japanese,"Cream, colored flowers",6,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3609.jpg,tops
Kimono bow belts,Japanese,"Orange, purple, magenta",6,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2205.11.42.jpg,tops
Kimono under belts,Japanese,"White wide band, pink rope",4,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2205.11.02.jpg,tops
Qi-pao,Traditional,White with floral print,9,"1 S, 5 M, 3 L",http://www.hcs.harvard.edu/~aadt/inventory/IMG_3599.jpg,tops
Qi-pao,Traditional,White with pink butterfly print (looks a little like pajamas),4,"1 S, 2 M, 1 L",http://www.hcs.harvard.edu/~aadt/inventory/IMG_3598.jpg,tops
Dress + Pants,Imperial,"Yellow pants with sequins, yellow with green design top with sequins",11 full set,"12 pants, 11 dresses",,tops
Tops + Pants,Traditional,"Dark blue with white trim (with flowers on them), 3/4 length sleeves","8- pants, 12-shirts","shirts- 8 S, 4M",http://www.hcs.harvard.edu/~aadt/inventory/IMG_3584.jpg,tops
Mid-shin dress,Traditional,Pink on top and light blue on bottom,4,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3605.jpg,tops
Top + Pants (QLH),Traditional,"Green top with white sleeves, green/white bottom",4,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3585.jpg,tops
Tunic,Traditional,Teal with gold sequined border,8,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3597.jpg,tops
Tank Top,Hip Hop,Black Wife beaters,6,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3601.jpg,tops
Tank Top,Hip Hop,Red Strappy Tank Tops,6,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3600.jpg,tops
T-Shirts,Hip Hop,White T-Shirts with Gray Spot,6,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3602.jpg,tops
Tank Top,Hip Hop,White,2,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3604.jpg,tops
Top + Bottom + Braided Hair Piece + Hair Ribbon + Green Sq. Cloth with Hole in the middle (Bracelet?) + Silver Dangly Earrings,Traditional,Light green and yellow top and bottom with flowling parts. Braided green and yellow headpiece. Light green long ribbon for hair. Dark green Sq. Cloth.,"Tops- 11, Bottoms-11, Braided Hair Piece- 11, Hair Ribbon- 10 , Green Sq. Cloth- 12, Earrings-5",,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3608.jpg,tops
Top + Bottom,Traditional,Bright pink tops and pants with two red flowers on the top,"Tops- 14, Bottoms- 13",,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3610.jpg,tops
Dress + Vest + Headpiece,Traditional (Xin Jiang),"Lavender Xinjian dress with colored trim on bottom, dark purple vest with sequined flowers, black hat with long purple clothing flowing out.","Dresses- 6, Vests- 7, Headpieces-7",,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3611.jpg,tops
Top + Pants + Belt + Hat,Traditional (Mongolian),"Red velvet long sleeve top with gold border, White transparent pants, Black belt with blue border, hat with small yellow pompom","Tops- 5, Pants-4, Belts-5, Hats-5",,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3622.jpg,tops
Top,Traditional,Black Top with Golden Peacock,9,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3629.jpg,tops
Watersleeves,Traditional,Transparent water sleeves,15,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3630.jpg,tops
Top + Bottom + Headpiece,Traditional (Qian Shou Guan Ying),"Yellow with gold sequins and beadings, Black headband headpiece","Tops  11 (3S, 4M, 4L), Pants- 12(3S, 5M, 4L), Headpieces (9)",,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3634.jpg,tops
Top + Bottom,Hip Hop,"Black T-Shirt, Long Camo Pants","Tops- 5, Pants- 5",,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3641.jpg,tops
Top,Hip Hop,Forest Green Hooded Top,5,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3642.jpg,tops
Top,Traditional,Red handkerchief tops with gold straps,11,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3635.jpg,tops
Top,Hip Hop,Black t-shirts with silver spraypaint,"Fitted (women's)- 7, unfitted (men's)- 3",,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3644.jpg,tops
Top,traditional,navy blue handkerchief top with red straps,10,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3636.jpg,tops
Dress + Bottoms,traditional (korean,"Korean dresses (Autumn), bottoms","Dress-9, Pants-8",,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3656.jpg,tops
Top,Traditional,Dark purple handkerchief top with pink straps,4,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3637.jpg,tops
Top,Traditional,Green handkerchief top with pink straps,4,,,tops
Top,Traditional,Red handkerchief top with pink straps,3,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3638.jpg,tops
Top and Bottom,Traditional,"Pink/red sleeveless with White part at top, Pink Pants","Tops- 9, Pants- 10",,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3651.jpg,tops
Top and Bottom,Traditional,"Blue sword handkerchief tops, White flowly harem pants","Tops- 11, Pants- 5",,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3657.jpg,tops
Top + Bottom,Traditional,White Silk guy tops and bottoms,"Tops- 9, Pants- 1",,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2203.55.52.jpg,tops
Dress,"Tibet, Traditional",white Tibetan dress with Rainbow checkered apron,9,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3639.jpg,tops
Top + Bottom,Traditional,"Green and white halter tops with large white circles, green and white pants with flared bottom half ","14 tops, 12 bottoms",,,tops
Top,Traditional,Guy- Red with gold Chinese writing,1,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2203.56.02.jpg,tops
Top,Traditional,Guy- Bright yellow,1,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.27.18.jpg,tops
Top + Bottom,Traditional,Guy- White heavyweight tops and bottoms (top has dragons),"Pants-2, Tops-2",,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.45.46.jpg,tops
Top + Bottom + Headpiece,Traditional,"Red chiffon mini skirt, Red chiffon top with silver sequin lining, yellow hat with long yarn braid","Top- 6, Skirts- 6, Hats- 10",,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.42.37.jpg,tops
Top + Bottom,Traditional,White with red lining martial arts top/bottoms,9 tops and 9 bottoms,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.47.34.jpg,tops
Top,Traditional,"White satin with blue lining, 3/4 sleeves",10 tops,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.45.04.jpg,tops
Tops,,"Flowly V-neck tops in Various colors (White, Yellow, Lavender, Light blue)","10 (3 White, 4 Lavender, 1 Blue, 2 Yellow)",,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.58.56.jpg,tops
Tops,Traditional (Han),6 short sleeves girls han tops (button up),6,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.46.02.jpg,tops
Tops,Traditional (Han),6 short sleeves boys han tops,6,,,tops
Dress + Skirt + Belt,Traditional,"Orange striped belt, Orange ribbon, Yellow top, Pink skirts, Pink skirt trim",9,,,tops
Tops,Traditional (Han),Yellow Satin long sleeved button up,4 (+1 sash),,,tops
Skirts,Cute,Dark purple long flowy skirts,6,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3586.jpg,bottoms
Skirts,Cute,Light green mini tiered skirt,4,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3606.jpg,bottoms
Skirts,Cute,Light blue mini tiered skirt,3,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3621.jpg,bottoms
Skirts,Cute,Handkerchief Hem mini skirts (Green and Purple),"2 purple, 1 green",,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3643.jpg,bottoms
Pants,Hip Hop/Tradtional,Black knee-length balloon pants,10,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3648.jpg,bottoms
Pants,Hip Hop/Traditional,White bell bottoms,9,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3650.jpg,bottoms
Pants,Traditional,Light + Dark blue bottoms (wrap and tie bottoms),8,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.28.27.jpg,bottoms
Pants,Traditional,Pink + Red bottoms (wrap and tie bottoms,7,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.28.36.jpg,bottoms
Skirts,Traditional,White handkerchief hem,8,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.35.55.jpg,bottoms
Bellydance Skirts,Belly Dance,Various colors,6,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2204.54.22.jpg,bottoms
Pants,Traditional,white stretchy (But not tight) capri bottoms,6,,,bottoms
Pants,Traditional,White stirrup pants,7,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2205.04.16.jpg,bottoms
Pants,Traditional,White loose capri pants,6,,,bottoms
Pants,Traditional,Brown ugly loose pants,5,,http://www.hcs.harvard.edu/~aadt/inventory/2012-09-2205.16.24.jpg,bottoms
Red Drums,Traditional,Red,12,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3579.jpg,props
Tambourines,Traditional,silver,12,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3580.jpg,props
Flower Baskets,,tan baskets with multi colored flowers,11,,http://www.hcs.harvard.edu/~aadt/inventory/IMG_3583.jpg,props
